frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms
21,700,1,0.7158117801882327,168.77134853778563,166.08350104841048,102.22757335813002,118.05447658470996,120.26040219279734,,6.119468839398722,0.012310672865726546,-0.03444041704037254,0.7776864866230178,0.5061358168742941,0.4566735258710268,-0.12418893031219726,,,0.022491545627330002,166.08350104841048,102.22757335813002,118.05447658470996,0.6577753987083081,0.7053390958353174,0.35449623504028005,,-0.04756369712700925,,0.03800245525246347,0.006880840813579224,0.012072887267127396,120.26040219279734,120.26040219279734,-0.20246577830888035,,rowing,finish,0,,,,,,,finish,finish,21,,,,,,,,,,,,medium,rowing_default,,,,,0,120.26040219279734,600
22,733,1,0.709235324524343,166.5666714715157,165.4337624587177,98.32436884605161,113.66859665286732,121.45972887322253,,3.838874534533568,0.01146597256871912,-0.03529981101189635,0.772674709094016,0.5060652234212966,0.4576519817650552,-0.12413132533581625,,,0.024514079238744567,165.4337624587177,98.32436884605161,113.66859665286732,0.6583675032131427,0.7015772784609726,0.3537629436294504,,-0.043209775247829874,,0.03734468349224119,0.006724130345917484,0.014595967322541694,121.45972887322253,121.45972887322253,-0.20385612603818393,,rowing,finish,0,,,,,,,finish,finish,22,,,,,,,,,,,,medium,rowing_default,,,,,0,121.45972887322253,633
23,767,1,0.7047291626222432,164.49753615858134,165.11343765338728,94.92544536773799,109.78122375594795,122.30685353529577,,1.4359312130434665,0.010851017248705082,-0.0358106176106123,0.7672450538171891,0.5062752328205605,0.45757773133614527,-0.12409178527821489,,,0.024493742923348546,164.49753615858134,94.92544536773799,109.78122375594795,0.658938226918585,0.6979744222185594,0.35361223872253617,,-0.039036195299974485,,0.03692713346013646,0.006575294496284134,0.015042492001448441,122.30685353529577,122.30685353529577,-0.20456502034749263,,rowing,finish,0,,,,,,,finish,finish,23,,,,,,,,,,,,medium,rowing_default,,,,,0,122.30685353529577,667
24,800,1,0.6942691886797547,161.48680476817313,163.60094237065883,91.48012596497034,105.69627984871809,123.20876021989879,,-0.8901266007723696,0.010734874662656935,-0.03563828441384239,0.7618498991350265,0.5066448160359358,0.4571269806152862,-0.12393038566256469,,,0.023945171015570994,161.48680476817313,91.48012596497034,105.69627984871809,0.6595363945255115,0.6925435553954843,0.3537532375463601,,-0.033007160869972796,,0.03640270028307346,0.006654050003079089,0.01520755432746168,123.20876021989879,123.20876021989879,-0.20503935085483638,,rowing,finish,0,,,,,,,finish,finish,24,,,,,,,,,,,,medium,rowing_default,,,,,0,123.20876021989879,700
25,833,1,0.6947020464576781,157.59293772082464,161.4556908077745,87.54379952042679,101.16381574429147,124.63510303378457,,-3.372866262511135,0.010631324534461072,-0.03514939993961069,0.7552761851422024,0.507117312563915,0.45606872589104014,-0.12377286622271871,,,0.022942383775772193,157.59293772082464,87.54379952042679,101.16381574429147,0.6601517202445304,0.6859575051245955,0.35408290488329963,,-0.02580578488006513,,0.03475261687707599,0.006514730230838775,0.015255683549530613,124.63510303378457,124.63510303378457,-0.20518631137554785,,rowing,finish,0,,,,,,,finish,finish,25,,,,,,,,,,,,medium,rowing_default,,,,,0,124.63510303378457,733
26,867,1,0.6939870989881456,153.90173038822508,158.47738689432245,83.71433400451393,96.10333071712209,126.09903990251627,,-5.899080076109596,0.011050837000005873,-0.03451594438382968,0.747493094708976,0.5079506162029407,0.45528436509679315,-0.12365649042701195,,,0.024340562130189154,153.90173038822508,83.71433400451393,96.10333071712209,0.6607579965150924,0.6785877824107892,0.355143235890789,,-0.017829785895696837,,0.0329700800821644,0.00675016122655281,0.01998492856789359,126.09903990251627,126.09903990251627,-0.20474166088920925,,rowing,finish,0,,,,,,,finish,finish,26,,,,,,,,,,,,medium,rowing_default,,,,,0,126.09903990251627,767
27,900,1,0.6914611835964024,150.3195010179343,154.41770679167888,80.08944909010575,91.6312957829644,127.84994969831244,,-7.960729115550288,0.01219598463416838,-0.03371037003813038,0.7396191110157265,0.5089971215247407,0.4543705538021475,-0.1235320749454427,,,0.025641752400226044,150.3195010179343,80.08944909010575,91.6312957829644,0.6613771254763322,0.6701402340192024,0.35661711757314946,,-0.008763108542870213,,0.03210784361442741,0.00670647786102252,0.023279319330844636,127.84994969831244,127.84994969831244,-0.20418111029388952,,rowing,finish,0,,,,,,,finish,finish,27,,,,,,,,,,,,medium,rowing_default,,,,,0,127.84994969831244,800
28,933,1,0.6934050298295915,146.33617187923656,150.1300503937767,76.4986885996085,86.84974921906428,129.31793816228853,,-9.924039260759217,0.01315280336170897,-0.03260767675437211,0.7316474246514971,0.5103245181974612,0.4520039343517282,-0.12331866511681804,,,0.026144905146052215,146.33617187923656,76.4986885996085,86.84974921906428,0.6621133278758319,0.6611678336662046,0.3585357085190902,,0.0009454942096273067,,0.02991490673369325,0.00648906573199892,0.024234225016426688,129.31793816228853,129.31793816228853,-0.2031391942979641,,rowing,finish,0,,,,,,,finish,finish,28,,,,,,,,,,,,medium,rowing_default,,,,,0,129.31793816228853,833
29,967,1,0.6971812788397074,142.41083946139216,146.21823543530326,72.74643290491413,82.22620749653814,131.47364227836127,,-11.988853471745271,0.01482545910883898,-0.03146649174284538,0.7225589566548919,0.5118516957700775,0.44853143742923807,-0.12307886754506768,,,0.022908088975298842,142.41083946139216,72.74643290491413,82.22620749653814,0.662804062838254,0.6522899731692616,0.360899328701901,,0.010514089668992366,,0.029714651777382764,0.006518252764548208,0.020671225984695,131.47364227836127,131.47364227836127,-0.2019718420171276,,rowing,finish,0,,,,,,,recovery,finish,1,,,,,,,,,,,,medium,rowing_default,,,,,0,131.47364227836127,867
30,1000,1,0.6963632083497941,139.30373138080188,142.58338091076115,69.82065123970689,77.96194491131321,132.8503596135176,,-13.683192025759496,0.016323610082775636,-0.030520717293130942,0.7150442845542838,0.5131615443848544,0.4446572804323934,-0.12274269736610598,,,0.020254857424159185,139.30373138080188,69.82065123970689,77.96194491131321,0.6633681677919105,0.6445172700940021,0.3629549209777983,,0.018850897697908486,,0.029097103789120997,0.006865225581984198,0.01732805827416551,132.8503596135176,132.8503596135176,-0.20109271313595958,,rowing,finish,0,,,,,,,recovery,finish,2,,,,,,,,,,,,medium,rowing_default,,,,,0,132.8503596135176,900
31,1033,1,0.6960730152204633,136.24338947756345,139.0670600038621,66.9992308917746,73.88832071645093,134.07342324737243,,-15.261763805440255,0.018064670140871472,-0.029566454875351398,0.7074581405561372,0.5146075351789108,0.4408135146135048,-0.12250904251095313,,,0.01875802619253865,136.24338947756345,66.9992308917746,73.88832071645093,0.6641982019985171,0.636825241223045,0.3650168683593044,,0.027372960775472133,,0.028521071421445023,0.007591589390004125,0.014733615375931444,134.07342324737243,134.07342324737243,-0.20048785363637095,,rowing,recovery,0,,,,,,,recovery,recovery,3,,,,,,,,,,,,medium,rowing_default,,,,,0,134.07342324737243,0
32,1067,1,0.698739776853472,132.46289338028984,135.06995384683324,64.01211968258798,69.36566460500919,134.93248171063593,,-16.694042171540413,0.01922383485431876,-0.028264660061001767,0.6993720314461966,0.51622206303159,0.43644785342310166,-0.12275700521866019,,,0.016676062157819003,132.46289338028984,64.01211968258798,69.36566460500919,0.6656238905327753,0.627500713280052,0.366820235530405,,0.038123177252723295,,0.02677060534943968,0.0072951426019101685,0.01185676295146522,134.93248171063593,134.93248171063593,-0.19979089724137025,,rowing,recovery,0,,,,,,,recovery,recovery,4,,,,,,,,,,,,medium,rowing_default,,,,,0,134.93248171063593,34
