frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean,body_center_delta_x,feet_stagger_score,step_count,ankle_delta,drive_score
21,700,1,0.7310630087740719,145.35268618279056,154.88562194083678,108.49753197885614,135.4108216445004,,98.03928103790673,71.4040001168219,0.02288157596072845,0.01692716044821062,0.5091069445838549,0.22900375274112786,0.5097249501527832,,0.17905713171594245,,0.07036493281410983,145.35268618279056,108.49753197885614,135.4108216445004,0.3155816244026046,0.5530394572575725,0.14242588107965112,,-0.2374578328549679,,0.01172983462035037,0.0609633221263324,0.06843183368599076,98.03928103790673,98.03928103790673,,-0.34923566728263705,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,8,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,150.11915406181367,0.006032404309507355,,0,0.023568866838507604,0.43595999883178094
22,733,1,0.6710294540971518,147.60325067905626,153.330997576016,112.27956812950602,135.0652021825241,,98.19486407203811,71.39801751287833,0.019713141285374023,0.015589777069698251,0.516166032728664,0.22793972073577165,0.5086691327911688,,0.17934383788058547,,0.044553294318069,147.60325067905626,112.27956812950602,135.0652021825241,0.3141179185768922,0.5512358919986856,0.1417615228946511,,-0.23711797342179342,,0.008241582905361138,0.03893012827739432,0.04365457707809974,98.19486407203811,98.19486407203811,,-0.3496385514549887,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,9,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,150.46712412753612,0.007059088144809156,,0,0.025811638496040824,0.43601982487121677
23,767,1,0.6976169680710882,148.39481437350935,152.72868278519047,114.50309423161542,135.0121067802422,,99.5081201280717,71.29597132670435,0.02289568938157823,0.01530332581296326,0.521105235549951,0.2266559509578605,0.5083469262700515,,0.18008201672726457,,0.023392224878472704,148.39481437350935,114.50309423161542,135.0121067802422,0.3131316228677292,0.5491296567999309,0.14018027904799185,,-0.23599803393220165,,0.00629213022230329,0.02787938502564753,0.02298973545266286,99.5081201280717,99.5081201280717,,-0.3492371787626945,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,10,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,150.5617485793499,0.004939202821287014,,0,0.021161069439596298,0.4370402867329566
24,800,1,0.7059553298167884,147.26127908018566,151.81112702966516,114.09290801606726,135.33435277530128,,99.48328389515886,71.19524714276527,0.024264137589877388,0.015141649706954101,0.52617927842325,0.2251707989098703,0.5087690184943028,,0.18039084496065583,,0.01926061427272046,147.26127908018566,114.09290801606726,135.33435277530128,0.31198064914697854,0.5479868540709223,0.13836094867276205,,-0.23600620492394375,,0.0053930027126581825,0.03020604554087824,0.01921777801646837,99.48328389515886,99.48328389515886,,-0.3494493014934107,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,11,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,149.5362030549254,0.005074042873298934,,0,0.004131610605752244,0.4380475285723473
25,833,1,0.7204590025357902,147.08180436391666,150.42146638497408,114.36989766822767,133.9219889874469,,100.0733181781118,71.1125192343769,0.0253675166686272,0.01483598322763361,0.5305526021292175,0.22404721470606218,0.5072285990516021,,0.18373259072902778,,0.004093918608503354,147.08180436391666,114.36989766822767,133.9219889874469,0.31119405948368545,0.5475966088617426,0.13690036992843896,,-0.2364025493780571,,0.0054958258370567375,0.020409015855452375,0.003502849371337972,100.0733181781118,100.0733181781118,,-0.35276051356377747,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,12,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,148.75163537444536,0.004373323705967547,,0,0.015166695664217106,0.43887480765623094
26,867,1,0.7190357139334083,147.63572325544865,150.74998454626032,115.01964051774908,134.4028565214171,,100.61172531058673,70.97359755301204,0.028964784915448794,0.01500813609714686,0.5351288666149924,0.22251625794658977,0.5064065041681692,,0.18699500583464942,,0.0027664735885133797,147.63572325544865,115.01964051774908,134.4028565214171,0.3103464182802492,0.5448460629480805,0.13468609761293038,,-0.23449964466783124,,0.005229714115112571,0.017381157330846088,0.00044963268120511065,100.61172531058673,100.61172531058673,,-0.35567700209281733,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,13,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,149.1928539008545,0.004576264485774861,,0,0.0033417056421795044,0.44026402446987956
27,900,1,0.7247543327976018,147.8059514908579,151.04502519226642,115.4583761479372,134.58747550211984,,101.21912709846447,70.86938238867614,0.032184248757559,0.015460267788444,0.539485474163911,0.22117078288592007,0.5065248446785214,,0.19041883632367634,,0.004232446267774196,147.8059514908579,115.4583761479372,134.58747550211984,0.30959003409776986,0.5427034193350937,0.13275153167407022,,-0.23311338523732383,,0.005089183478307706,0.013767773588458947,0.004229183586811835,101.21912709846447,101.21912709846447,,-0.35889534826281844,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,14,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,149.42548834156216,0.004356607548918645,,0,0.0032641480159488756,0.4413061761132386
28,933,1,0.7297091234941036,146.996231351301,151.82216497709445,114.3786825090777,136.16356434924188,,102.45916328910104,70.83203847970202,0.03692071865166967,0.017221808144784655,0.5445583609274269,0.21991004099208877,0.5107586073377753,,0.19270120596870655,,0.019745826800941346,146.996231351301,114.3786825090777,136.16356434924188,0.30880680786076986,0.5438233749649584,0.1310132741234077,,-0.2350165671041885,,0.005064392103253113,0.02551831421553607,0.0186493905179117,102.45916328910104,102.45916328910104,,-0.36064528445262617,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,15,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,149.40919816419773,0.005072886763515916,,0,0.01551338053316715,0.4416796152029798
29,967,1,0.7330139675177634,145.60625436337605,151.91613915050303,112.81310278414935,136.8490149581161,,103.01089926119008,70.8317530713017,0.04082080549722915,0.018970151698567212,0.5495794924774368,0.21883285135373376,0.5164345523609679,,0.19448223937488748,,0.04219535578508821,145.60625436337605,112.81310278414935,136.8490149581161,0.308055693535214,0.5460822548400694,0.12961000917225352,,-0.23802656130485544,,0.0049227559648596046,0.035332725781968576,0.04028092353001161,103.01089926119008,103.01089926119008,,-0.362002596838517,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,16,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,148.76119675693954,0.0050211315500098275,,0,0.02244952898414686,0.44168246928698296
30,1000,1,0.7385990885086358,144.41446428832222,148.78382492263964,111.16243147944428,135.42190982485397,,103.8713882114958,70.82105160172033,0.04485834170719426,0.021084203749648107,0.5560808755156458,0.2175141445749852,0.5206499353920315,,0.19519768709497837,,0.06015146602557676,144.41446428832222,111.16243147944428,135.42190982485397,0.30707764634672685,0.5518382800742592,0.1279506428032435,,-0.24476063372753232,,0.0047166225036213184,0.036378950418085,0.05698231727558831,103.8713882114958,103.8713882114958,,-0.3624376216596887,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,17,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,146.59914460548094,0.006501383038209019,,0,0.01795611024048855,0.4417894839827967
31,1033,1,0.7451397490222007,140.45584569111637,141.43743955004328,107.81911013765324,131.47820200337088,,104.39219438431931,70.8558210785992,0.04685158161097482,0.0219200196482942,0.5628854161455904,0.21593757357290183,0.524315336578767,,0.19677030546960247,,0.0657381255494993,140.45584569111637,107.81911013765324,131.47820200337088,0.30575896017235676,0.561662504045373,0.12611618697344693,,-0.2559035438730162,,0.004760011048220273,0.035158114014102536,0.061112473958058425,104.39219438431931,104.39219438431931,,-0.363947297687172,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,18,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,140.94664262057984,0.006804540629944622,,0,0.005586659523922545,0.4414417892140079
