frame_index,timestamp_ms,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_tilt_proxy,left_wrist_speed,right_wrist_speed,left_ankle_speed,right_ankle_speed,pelvis_speed,shoulder_center_speed,left_elbow_angular_velocity,right_elbow_angular_velocity,left_knee_angular_velocity,right_knee_angular_velocity,left_hip_angular_velocity,right_hip_angular_velocity,motion_energy_proxy,pose_detected,visibility_mean,missing_ratio
1722,3570308593,147.41846,144.7257,,,169.79173,172.04392,20.786408,27.373614,0.49959796,7.8267493,9.3186172,0.13157483,0.17594917,0.087138498,0.69022074,-150.85689,-117.3363,,,0.78501524,-79.025107,13.099925,1,0.78537346,0.18181818
1723,3570308656,126.67034,143.25093,,,167.88037,167.76892,23.678221,23.667988,0.015597229,0.85033637,0.48113627,0.29498994,0.33331555,0.16392421,1.344778,-329.3353,-23.409011,,,-30.338986,-67.857157,1.4766814,1,0.78866591,0.18181818
1724,3570308718,129.55739,142.0869,,,169.3854,169.95144,22.065073,27.110843,0.16162083,0.14205601,1.5214917,0.19950675,0.22283214,0.066413768,0.17240638,46.565387,-18.77457,,,24.274708,35.201967,1.525244,1,0.7904843,0.18181818
1725,3570308781,127.84174,146.33938,,,169.24649,171.09313,20.707406,26.818845,0.51996832,0.33567767,0.50710514,0.2515764,0.1993799,0.039175909,0.34094471,-27.232534,67.499662,,,-2.2050376,18.122128,0.89674117,1,0.79285911,0.18181818
1726,3570308843,133.59236,152.15817,,,167.64305,170.42585,21.851151,26.501923,0.48990705,1.5957276,0.90625874,0.16521001,0.22042228,0.16001182,0.011076156,92.751942,93.851395,,,-25.861918,-10.762583,2.2293177,1,0.79388578,0.18181818
1727,3570308906,123.66294,147.49456,,,,167.38271,23.567272,41.611013,0.55410934,7.1743377,4.9052307,0.18106687,0.15947112,0.32919934,0.21428677,-157.60989,-74.025502,,,,-48.303905,9.5591446,1,0.79599077,0.21212121
1728,3570308984,104.48261,119.69919,,,,,34.338589,24.278315,0.20507641,4.1000098,2.1106224,0.11932475,0.18054237,0.16125938,1.2510985,-245.90172,-356.35094,,,,,4.9691671,1,0.79652688,0.24242424
1729,3570309046,99.52395,109.9869,,,,,39.228243,21.450899,0.32946967,2.1534874,1.4983766,0.17717654,0.31017177,0.052643028,0.30163138,-79.97833,-156.64976,,,,,3.0352152,1,0.79692513,0.24242424
1730,3570309109,70.453319,115.52824,,,163.33908,170.46889,51.379539,51.585507,0.14134341,6.3463019,2.8574529,0.47262325,0.22301802,0.13353314,2.5439145,-461.43859,87.957781,,,,,7.3841699,1,0.79721978,0.18181818
1731,3570309171,64.180143,125.1259,,,,,51.205129,42.825936,0.22343022,1.2349166,1.2255721,0.45298717,0.53489581,0.042309657,2.5090958,-101.18026,154.80083,,,,,2.3816177,1,0.79735844,0.24242424
1732,3570309250,69.643988,118.27411,,,,,34.611829,40.657161,0.37596682,1.6682141,0.4581248,0.46322582,0.072022025,0.030359355,0.29361246,69.162597,-86.731458,,,,,1.8927375,1,0.79711425,0.24242424
1733,3570309312,72.91644,118.5218,,,,,31.266919,41.76235,0.33651336,0.18458043,0.23807337,0.66129494,0.09946016,0.038787169,0.24152807,52.78148,3.9950583,,,,,0.73615507,1,0.79593229,0.24242424
1734,3570309390,72.78351,120.02877,,,,,30.47129,45.83107,0.096766291,0.18408811,0.20838625,0.54721475,0.085504244,0.013091148,0.1746124,-1.7042277,19.320118,,,,,0.62380641,1,0.79517175,0.24242424
